user_id,poi_id,venueCategory,lat,lon,week,time,Classification_Numeric
470,49bbd6c0f964a520f4531fe3,Crafts Store,40.71981038,-74.00258103,Tuesday,18:00:09,2
979,4a43c0aef964a520c6a61fe3,Bridge,40.60679958,-74.04416981,Tuesday,18:00:25,1
69,4c5cc7b485a1e21e00d35711,Home,40.71616168,-73.88307006,Tuesday,18:02:24,6
395,4bc7086715a7ef3bef9878da,Medical Center,40.7451638,-73.98251878,Tuesday,18:02:41,7
87,4cf2c5321d18a143951b5cec,Food Truck,40.74010383,-73.98965836,Tuesday,18:03:00,2
484,4b5b981bf964a520900929e3,Drink Shop,40.69042712,-73.95468678,Tuesday,18:04:00,2
642,4ab966c3f964a5203c7f20e3,Coffee Shop,40.75159143,-73.9741214,Tuesday,18:04:38,2
292,4d0cc47f903d37041864bf55,Bus Station,40.77942173,-73.95534113,Tuesday,18:04:42,5
428,4ce1863bc4f6a35d8bd2db6c,Home,40.61915107,-74.0358876,Tuesday,18:06:18,6
877,4be319b321d5a59352311811,Bank,40.61900594,-73.99037473,Tuesday,18:06:19,2
87,4d8263a73e916dcb8edd80d2,Gastropub,40.74348254,-73.994009,Tuesday,18:07:15,3
625,4ab5320cf964a5202b7320e3,Electronics Store,40.74260751,-73.99270535,Tuesday,18:08:57,2
691,4cb50d599c7ba35de0ef8706,Medical Center,40.71976227,-74.250014,Tuesday,18:09:06,7
116,4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,40.74119055,-73.9896631,Tuesday,18:09:29,2
931,49f85763f964a520f16c1fe3,Cafe,-74.00963933,-240.0,Tuesday,18:09:59,2
53,4c00297392a6c9280cc243e2,Automotive Shop,40.8619815,-74.04790454,Tuesday,18:10:04,2
445,4b9830a5f964a520c73235e3,Drink Shop,40.82678954,-73.94950924,Tuesday,18:10:39,2
135,4a689777f964a520a0ca1fe3,Restaurant,40.75527488,-73.97880614,Tuesday,18:11:04,3
895,4bb7e0c41261d13a8707e898,Coffee Shop,40.906627,-73.777774,Tuesday,18:11:16,2
704,4cb4b31cb4b0a35df33969ce,American Restaurant,40.73067679,-74.0656718,Tuesday,18:11:35,3
891,4ba8a9a9f964a5206ee539e3,Government Building,40.88302033,-74.07587528,Tuesday,18:12:09,8
284,4abe60d8f964a520198d20e3,Coffee Shop,40.74281621,-74.00040611,Tuesday,18:12:27,2
901,4c1ff4e68b3aa5933d499e5f,Airport,40.64531729,-73.77383709,Tuesday,18:12:42,5
803,4c955b3558d4b60c06d03129,Ferry,40.76067265,-74.00367709,Tuesday,18:13:12,5
699,4ba0e0edf964a520138437e3,Office,40.736676,-73.98891,Tuesday,18:13:21,8
100,4bc308db4cdfc9b639bf9621,Other Great Outdoors,40.79059947,-73.98023378,Tuesday,18:14:03,1
642,4d9a2f78d97ba1430b43336b,Building,40.75230661,-73.97185432,Tuesday,18:14:21,8
443,4a676ff4f964a5206fc91fe3,Office,40.65553514,-74.00862938,Tuesday,18:14:44,8
689,4c5ef77bfff99c74eda954d3,Drink Shop,40.74186151,-73.98943363,Tuesday,18:15:05,2
390,4bcde547511f95210d62b5c7,Office,40.75094552,-74.00563392,Tuesday,18:15:07,8
32,44af9feef964a5202b351fe3,Mexican Restaurant,40.74773817,-73.98519815,Tuesday,18:15:33,3
230,3fd66200f964a52035e41ee3,Music Venue,40.731698,-73.98922694,Tuesday,18:16:09,0
445,4b3a8e5df964a520d86925e3,Subway,40.82650767,-73.95039082,Tuesday,18:16:10,5
834,4b55ec3bf964a520aaf627e3,Student Center,40.86283582,-74.19723988,Tuesday,18:16:19,4
962,40b68100f964a5207d001fe3,Park,40.74218831,-73.98792419,Tuesday,18:17:17,0
1032,4bf5cedf4d5f20a1833d98fe,Road,40.90105787,-74.15076256,Tuesday,18:18:54,1
525,4f5684de771657f331e5ca01,Home,40.96324076,-74.0946311,Tuesday,18:19:07,6
525,4f5684de771657f331e5ca01,Home,40.96324076,-74.0946311,Tuesday,18:19:07,6
962,40e74880f964a520150a1fe3,Burger Joint,40.7414075,-73.98843795,Tuesday,18:19:21,3
318,4b4fafebf964a520ee1027e3,Subway,40.69743322,-73.9930433,Tuesday,18:19:25,5
1047,4ad607d3f964a520a10421e3,Bank,40.77807781,-73.95449162,Tuesday,18:19:28,2
738,4c06877bcf8c76b0f09b3a65,Office,40.72817168,-74.00752187,Tuesday,18:21:27,8
364,4b7718d4f964a520077d2ee3,Sporting Goods Shop,40.77901409,-73.95403862,Tuesday,18:21:33,2
398,4b6752eef964a52006482be3,Pizza Place,40.77615805,-73.82361593,Tuesday,18:23:40,3
839,4cd03669c5b39eb043fb5a16,Jewelry Store,40.75062326,-73.99004187,Tuesday,18:24:02,2
424,49c7f7c2f964a520da571fe3,Sandwich Place,40.68892999,-73.9956665,Tuesday,18:24:38,3
751,49b15042f964a520d4521fe3,Coffee Shop,40.727612,-74.007306,Tuesday,18:24:51,2
1047,4ca66eec5a1e952129d98ace,Clothing Store,40.77843897,-73.95451458,Tuesday,18:24:58,2
889,4c79b79381bca093e689fe14,Neighborhood,40.92431191,-73.9968883,Tuesday,18:26:46,6
612,447bf8f1f964a520ec331fe3,Electronics Store,40.76391921,-73.97313996,Tuesday,18:27:43,2
643,4cbf5c4e985aa35da7854612,Medical Center,40.786713,-74.175476,Tuesday,18:31:32,7
643,4d1a2428401db60c2e9fffa4,Medical Center,40.78690639,-74.17540497,Tuesday,18:32:11,7
1032,4e6657e7d4c06542ac9acee2,Medical Center,40.88544,-74.13887,Tuesday,18:32:27,7
718,4d98393cb7bf2c0f9ff5ea2d,Bus Station,40.81721954,-73.94790173,Tuesday,18:33:26,5
768,4dbdebed6e810768bf82ad95,Ice Cream Shop,40.80396498,-74.00513467,Tuesday,18:33:29,3
15,4b0d88b2f964a5206d4a23e3,Soup Place,40.785679,-73.972834,Tuesday,18:33:49,3
768,4e79392ce4cdb158f1cf4b75,Home,40.80204208,-74.00063278,Tuesday,18:34:00,6
458,4ca264431ee76dcb0d32f0dd,College Academic Building,40.69684128,-73.98717238,Tuesday,18:34:10,4
877,4bcd8da3511f95219fbbb4c7,Bank,40.61802636,-73.99167746,Tuesday,18:34:55,2
280,4bdb4bf54b1f952169ac670b,Drink Shop,40.73971083,-73.98251798,Tuesday,18:35:31,2
318,4b093cd0f964a520db1423e3,Subway,40.7509958,-73.99068832,Tuesday,18:36:56,5
839,41102700f964a520d60b1fe3,Department Store,40.75061379,-73.98856401,Tuesday,18:37:12,2
1016,4d72a06ff7c38cfaa94aaa3d,Playground,40.93253437,-74.00992625,Tuesday,18:39:29,0
281,4c17d9974ff90f47a9890d49,Tattoo Parlor,40.7471092,-74.15280867,Tuesday,18:39:34,2
366,4528a216f964a520173b1fe3,Mall,40.73405558,-73.87084723,Tuesday,18:39:36,2
276,4ab11744f964a520046820e3,Deli,40.75110146,-73.98130059,Tuesday,18:39:42,2
135,4cd028a77b6854810ac7bff8,Office,40.708515,-74.007282,Tuesday,18:39:44,8
227,4bcb49aefb84c9b608821e3e,College Academic Building,40.74358598,-74.17815694,Tuesday,18:42:03,4
612,4ae8495ef964a5207fae21e3,Coffee Shop,40.76260087,-73.9660057,Tuesday,18:42:25,2
458,4b298573f964a52050a024e3,University,40.69541297,-73.98732159,Tuesday,18:42:32,4
80,4c424ceea5c5ef3b2876b06f,Diner,40.67919,-73.995548,Tuesday,18:43:53,3
445,4c1d0f98c09ed13ad4c5828e,Bus Station,40.80463955,-73.93786213,Tuesday,18:44:07,5
673,4c911bb157e5b60ce3df5d1c,Government Building,40.7015868,-73.95745343,Tuesday,18:45:15,8
318,4c8e9b251992a1cd211edffb,University,40.74790921,-73.98380928,Tuesday,18:46:30,4
337,4b8c4735f964a5201dc832e3,Music Store,40.830936,-74.20743204,Tuesday,18:47:11,2
916,4b7c9fe1f964a520559e2fe3,Light Rail,40.71589126,-74.03416157,Tuesday,18:47:23,5
639,4c671f759cb82d7fd1d192d2,Salon,40.77536339,-73.955705,Tuesday,18:48:57,2
752,4b55ec3bf964a520aaf627e3,Student Center,40.86283582,-74.19723988,Tuesday,18:49:59,4
713,4a7a0832f964a5203ce81fe3,Mexican Restaurant,40.745245,-73.982692,Tuesday,18:51:03,3
449,4b96b432f964a52018df34e3,University,40.70473328,-73.98773789,Tuesday,18:52:48,4
