passenger_count,tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
1,2015-01-21 22:00:06,2015-01-21 22:16:44,-73.97993469238281,40.76554107666016,-74.01599884033203,40.71145248413086,23.76
5,2015-01-11 23:27:43,2015-01-11 23:54:51,-73.98670196533203,40.76673889160156,-73.83635711669923,40.706302642822266,42.3
1,2015-01-15 09:30:13,2015-01-15 09:36:13,-73.97531127929686,40.75532913208008,-73.96446990966798,40.757205963134766,8.15
1,2015-01-06 00:33:49,2015-01-06 00:56:25,-73.99139404296875,40.74969482421875,-73.98872375488281,40.69375991821289,31.56
1,2015-01-19 06:06:01,2015-01-19 06:16:11,-73.98719024658203,40.753299713134766,-73.98882293701173,40.728191375732415,11.3
1,2015-01-09 06:02:48,2015-01-09 06:11:13,-73.98789215087889,40.73815536499024,-73.97444915771484,40.7631721496582,10.8
1,2015-01-09 19:05:45,2015-01-09 19:17:00,-73.97029113769531,40.75341796875,-73.9652099609375,40.75841522216797,10.3
1,2015-01-01 21:02:33,2015-01-01 21:13:40,-73.98844146728516,40.723365783691406,-73.95895385742188,40.76376724243164,15.8
1,2015-01-05 15:54:45,2015-01-05 16:05:28,-73.94979858398438,40.77140426635742,-73.95196533203125,40.79036331176758,11.3
1,2015-01-10 02:00:45,2015-01-10 02:06:34,-73.97587585449217,40.78656768798828,-73.98242950439453,40.77543258666992,7.3
1,2015-01-11 14:03:49,2015-01-11 14:06:45,-73.95347595214845,40.778675079345696,-73.94844818115233,40.77389526367188,4.8
1,2015-01-28 14:00:56,2015-01-28 14:25:48,-73.86309051513672,40.76964569091797,-73.95097351074217,40.769798278808594,40.96
1,2015-01-19 18:00:24,2015-01-19 18:05:46,-73.98332214355469,40.765472412109375,-73.97181701660156,40.76315307617188,8.15
1,2015-01-24 15:42:43,2015-01-24 15:48:39,-74.00772094726561,40.74298477172852,-73.99929809570312,40.761661529541016,7.8
1,2015-01-08 08:55:04,2015-01-08 09:09:54,-73.98781585693358,40.775390625,-73.97735595703125,40.75935363769531,12.3
1,2015-01-22 23:10:39,2015-01-22 23:25:48,-73.87451171875,40.773963928222656,-73.94596099853516,40.78277206420898,37.03
1,2015-01-18 21:37:22,2015-01-18 21:52:04,-73.98129272460938,40.7631950378418,-73.99423217773438,40.75650787353516,13.3
1,2015-01-26 06:56:31,2015-01-26 07:01:51,-73.99014282226561,40.75688934326172,-73.97816467285155,40.7522850036621,6.3
1,2015-01-01 15:35:01,2015-01-01 15:42:55,-73.99034118652342,40.756683349609375,-73.97889709472656,40.76244354248047,9.35
1,2015-01-29 10:44:44,2015-01-29 10:54:38,-73.98387145996092,40.72164535522461,-73.98219299316406,40.73845672607422,10.7
1,2015-01-09 15:32:22,2015-01-09 15:36:01,-73.98691558837889,40.72963333129882,-73.99034881591797,40.72333526611328,5.3
1,2015-01-09 11:51:06,2015-01-09 12:00:54,-73.97754669189453,40.7537841796875,-73.98195648193358,40.76282501220703,6.8
1,2015-01-23 06:56:30,2015-01-23 07:00:57,-73.99626922607422,40.74317169189453,-73.98067474365233,40.735454559326165,6.3
1,2015-01-30 20:15:16,2015-01-30 20:43:38,-73.98884582519531,40.773887634277344,-74.00051116943358,40.728870391845696,22.8
2,2015-01-20 17:01:03,2015-01-20 17:06:55,-73.986328125,40.74378204345703,-73.99610137939453,40.74338150024414,7.3
1,2015-01-27 17:14:09,2015-01-27 17:18:11,-73.95571899414062,40.77972412109375,-73.9609832763672,40.7750244140625,7.55
1,2015-01-20 14:10:14,2015-01-20 14:24:14,-73.99736022949219,40.72501373291016,-74.00884246826173,40.7110710144043,12.8
1,2015-01-25 00:55:14,2015-01-25 01:01:34,-73.99358367919923,40.73622131347656,-74.00080108642578,40.72612762451172,8.3
1,2015-01-31 14:27:12,2015-01-31 14:44:44,-74.00479888916014,40.70710754394531,-74.00621032714845,40.74297332763672,14.8
1,2015-01-10 20:26:18,2015-01-10 20:59:51,-73.99437713623048,40.76087188720703,-73.97864532470702,40.67462539672852,40.56
1,2015-01-12 10:58:45,2015-01-12 11:26:13,-74.01679992675781,40.70759201049805,-73.97611999511719,40.76559448242188,28.56
1,2015-01-04 12:22:13,2015-01-04 12:39:06,-73.95387268066406,40.772579193115234,-73.99617767333984,40.7197494506836,22.3
1,2015-01-23 18:21:30,2015-01-23 18:28:26,-73.98857879638672,40.73650360107422,-73.97554016113281,40.733158111572266,9.96
1,2015-01-11 00:24:58,2015-01-11 00:31:24,-73.98694610595702,40.75582885742188,-73.97671508789062,40.759498596191406,9.9
1,2015-01-04 09:40:27,2015-01-04 09:43:22,-73.98011779785155,40.77559661865234,-73.98188781738281,40.7705307006836,4.8
1,2015-01-08 13:19:12,2015-01-08 13:24:58,-73.99066162109375,40.7558708190918,-73.97783660888672,40.758445739746094,6.3
1,2015-01-31 15:36:32,2015-01-31 15:48:09,-73.95960998535155,40.776660919189446,-73.96688079833984,40.761672973632805,11.05
1,2015-01-25 03:30:44,2015-01-25 03:38:39,-73.98284912109375,40.72425079345703,-73.97772216796875,40.74468994140625,9.8
3,2015-01-30 09:42:25,2015-01-30 09:49:26,-73.98284149169923,40.76775360107422,-73.9904556274414,40.76994323730469,6.8
5,2015-01-21 12:17:05,2015-01-21 12:39:33,-73.95059967041014,40.72173690795898,-73.98904418945312,40.73412322998047,18.3
1,2015-01-14 21:08:48,2015-01-14 21:22:13,-73.98994445800781,40.73994064331056,-73.98564147949219,40.71918487548828,14.75
1,2015-01-15 19:33:25,2015-01-15 19:50:58,-74.00476837158203,40.74703979492188,-74.00016021728516,40.72043991088867,17.3
3,2015-01-16 11:40:26,2015-01-16 12:20:51,-73.86290740966798,40.768829345703125,-73.98628997802734,40.76823806762695,33.8
5,2015-01-23 10:31:34,2015-01-23 10:38:56,-73.97937774658203,40.74672317504882,-73.99179840087889,40.73437881469727,9.36
1,2015-01-19 05:17:08,2015-01-19 05:38:08,-73.93911743164062,40.757511138916016,-73.93911743164062,40.757511138916016,30.37
1,2015-01-04 15:03:50,2015-01-04 15:18:15,-73.98701477050781,40.74048614501953,-73.99880981445312,40.76375579833984,12.3
1,2015-01-21 07:15:09,2015-01-21 07:17:06,-74.00150299072266,40.74116897583008,-74.00587463378906,40.74533462524414,4.3
1,2015-01-06 09:40:15,2015-01-06 10:10:44,-73.87318420410156,40.77408218383789,-73.97567749023438,40.75146865844727,45.0
1,2015-01-23 22:49:25,2015-01-23 23:04:58,-74.00102996826173,40.74166870117188,-73.97991943359375,40.75284957885742,15.96
1,2015-01-10 22:59:30,2015-01-10 23:11:39,-73.9858169555664,40.762031555175774,-73.953857421875,40.743289947509766,23.63
1,2015-01-13 20:31:21,2015-01-13 20:37:33,-73.99807739257811,40.72331619262695,-74.01036071777344,40.71163940429688,8.3
1,2015-01-10 20:08:16,2015-01-10 20:15:29,-73.90699005126953,40.7735595703125,-73.91571044921875,40.764404296875,7.8
2,2015-01-23 18:13:12,2015-01-23 18:20:54,-73.98992919921875,40.75214385986328,-73.99050903320312,40.74048614501953,9.3
1,2015-01-10 13:15:42,2015-01-10 13:21:30,-73.95541381835938,40.76850128173828,-73.95659637451173,40.779029846191406,6.8
1,2015-01-25 22:59:23,2015-01-25 23:11:41,-73.97071075439453,40.759368896484375,-74.00414276123048,40.74683380126953,12.8
1,2015-01-04 07:51:41,2015-01-04 08:15:17,-73.78206634521484,40.64461135864258,-73.90725708007811,40.76119613647461,49.1
1,2015-01-14 05:38:56,2015-01-14 05:42:13,-73.99996185302734,40.73874282836913,-74.00818634033203,40.7447624206543,6.96
1,2015-01-17 11:06:59,2015-01-17 11:10:54,-73.99710845947266,40.75729751586913,-73.988525390625,40.75674819946289,6.2
1,2015-01-15 23:46:55,2015-01-16 00:15:08,-74.00474548339844,40.74199676513672,-73.91685485839844,40.76837539672852,32.0
1,2015-01-07 22:37:23,2015-01-07 22:41:58,-73.97491455078125,40.7520637512207,-73.96749114990233,40.753730773925774,6.8
1,2015-01-30 08:51:38,2015-01-30 08:55:22,-73.95372772216798,40.77091598510742,-73.95986938476561,40.77361679077149,5.76
1,2015-01-02 23:00:34,2015-01-02 23:07:14,-73.99848937988281,40.74505233764648,-73.99745178222656,40.76092529296875,9.8
1,2015-01-29 09:03:41,2015-01-29 09:19:22,-73.98878479003906,40.7691535949707,-73.98583984375,40.75544357299805,11.8
1,2015-01-08 10:05:50,2015-01-08 10:16:00,-73.96077728271484,40.75749588012695,-73.96373748779298,40.768569946289055,8.8
1,2015-01-06 16:49:25,2015-01-06 17:16:22,-73.98162841796875,40.7737693786621,-73.98787689208984,40.71424865722656,28.8
1,2015-01-31 20:31:55,2015-01-31 20:41:41,-73.96855926513672,40.75913238525391,-73.93507385253906,40.81180191040039,13.3
1,2015-01-17 11:18:34,2015-01-17 11:25:20,-73.99079895019531,40.73070526123047,-74.0033187866211,40.73288345336913,7.8
1,2015-01-23 19:56:19,2015-01-23 20:04:22,-73.97320556640625,40.75351333618164,-73.9867935180664,40.76017761230469,8.3
