poi_id,venueCategory,name,category,formatted_address,latitude,longitude,tag
49bbd6c0f964a520f4531fe3,Crafts Store,Pearl Art & Craft Supply,Arts and Crafts Store,"308 Canal St (btwn Broadway & Mercer), New York, NY 10013",40.719633,-74.002656,1.0
4a43c0aef964a520c6a61fe3,Bridge,Verrazzano-Narrows Bridge,Bridge,"I-278, Brooklyn, NY 10305",40.605405,-74.048466,1.0
4c5cc7b485a1e21e00d35711,Home,,,,,,404.0
4bc7086715a7ef3bef9878da,Medical Center,Premier Physical Therapy,Physical Therapy Clinic,"461 Park Ave S (E 31st St), New York, NY 10016",40.74516,-73.982309,1.0
4cf2c5321d18a143951b5cec,Food Truck,Taem Mobile Falafel & Smoothie Truck,Food Truck,"New York, NY 10011",40.726882,-74.005824,1.0
4b5b981bf964a520900929e3,Drink Shop,Compare Foods Supermarket,Grocery Store,"991 Bedford Ave (at Kosciuszko St.), Brooklyn, NY 11205",40.690077,-73.954899,1.0
4ab966c3f964a5203c7f20e3,Coffee Shop,Starbucks,Coffee Shop,"685 3rd Ave (at E 43rd St), New York, NY 10017",40.751604,-73.973432,1.0
4d0cc47f903d37041864bf55,Bus Station,,,,,,404.0
4ce1863bc4f6a35d8bd2db6c,Home,,,,,,404.0
4be319b321d5a59352311811,Bank,Chase Bank,Bank,"6501 18th Ave, Brooklyn, NY 11204",40.618853,-73.99014,1.0
4d8263a73e916dcb8edd80d2,Gastropub,The Guilty Goose,Gastropub,"131 W 23rd St (btwn 6th & 7th Ave), New York, NY 10011",40.7435,-73.993818,1.0
4ab5320cf964a5202b7320e3,Electronics Store,Best Buy,Computers and Electronics Retail,"60 W 23rd St (at 6th Ave), New York, NY 10010",40.742403,-73.992508,1.0
4cb50d599c7ba35de0ef8706,Medical Center,,,,,,404.0
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,T-Mobile,Mobile Company,"175 5th Ave (btwn 22nd & 23rd St.), New York, NY 10010",40.741336,-73.990064,1.0
49f85763f964a520f16c1fe3,Cafe,Manon Cafe / Leonidas,Cafe,"3 Hanover Sq, New York, NY 10004",40.704938,-74.009537,1.0
4c00297392a6c9280cc243e2,Automotive Shop,,,,,,404.0
4b9830a5f964a520c73235e3,Drink Shop,C-Town Supermarket,Grocery Store,"3550 Broadway (at 145th St.), New York, NY 10031",40.826733,-73.949761,1.0
4a689777f964a520a0ca1fe3,Restaurant,Dishes,Deli,"6 E 45th St (btwn Madison & 5th Ave.), New York, NY 10017",40.754911,-73.97889,1.0
